57,convoy4_keys_1,CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_1,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
58,convoy4_keys_2,CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_2,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
59,convoy4_keys_3,CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_3,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
60,convoy4_call_train,CP_QUARRY2_OBJECTIVES/CONVOY4_CALL_TRAIN,CP_QUARRY2_OBJECTIVES/CONVOY4_CALL_TRAIN_WORLD,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
61,convoy4_take_apache,CP_QUARRY2_OBJECTIVES/CONVOY4_TAKEAPACHE,,0,,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
62,convoy4_wait_train,CP_QUARRY2_OBJECTIVES/CONVOY4_WAITTRAIN,CP_QUARRY2_OBJECTIVES/LABEL_WAIT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
63,convoy4_open_train,CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_DOOR,CP_QUARRY2_OBJECTIVES/LABEL_OPEN,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
64,convoy4_take_loot,CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_LOOT,CP_QUARRY2_OBJECTIVES/LABEL_LOOT,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
65,convoy4_extraction,CP_QUARRY2_OBJECTIVES/FULTON_WAITING,CP_QUARRY2_OBJECTIVES/FULTON_WAITING_LABEL,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
66,convoy4_fulton,CP_QUARRY2_OBJECTIVES/CONVOY4_REGROUP_EXTRACT,CP_QUARRY2_OBJECTIVES/ATTACH_FULTON,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
67,convoy4_board_ac130,CP_QUARRY2_OBJECTIVES/CONVOY4_BOARD_AC130,,0,primary,icon_waypoint_objective_general,,,30,25,15,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
68,convoy4_train_explode,CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_EXPLODE,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
69,plant_jammers,CP_FUBAR/JAM_COMMS,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
70,kill_tunnel_spawns,CP_OBJECTIVES/TUNNEL,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
71,equip_disguise,CP_FUBAR/CLEAR_AREA,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,CP_FUBAR/EQUIP_DISGUISE,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
72,collect_nuclear_core,CP_FUBAR/COLLECT_NUCLEAR_CORE,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
73,exfil_plane,CP_FUBAR/EXFIL_C130,,1,primary,icon_waypoint_objective_general,,,60,29,14,,,,,,,1,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
74,land_at_lz,CP_FUBAR/LAND_AT_LZ,,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
75,infil_plane,CP_FUBAR/INFIL_C130,,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
76,destroy_c130,CP_FUBAR/DESTROY_C130,,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,,,,,,,,cp_plane_hijack_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
